"id","label","x","y"
50646,"Pantikapaion",45.2385,36.4141
50677,"Mons Porphyrites",0,0
50649,"Kotyora",41.0002,37.8752
50647,"Themiskyra",41.2152,36.9677
50634,"Kleides Pr.",35.7,34.59
50639,"Sinope",42.0492,35.0419
50637,"Apollonia",32.2128,34.816
50644,"Myriandros",36.59,36.19
50648,"Gorgippia",44.8922,37.3103
50636,"Ioppe",32.0545,34.7511
50643,"Byblos",34.12,35.64
50341,"Sarmizegethusa",45.623,23.31
50770,"x",,
50713,"Malaca",,
50412,"Venta",51.063,-1.317
50464,"Portus Blendium",0,0
50546,"Akitas Pr.",36.72,21.88
50721,"x",,
50714,"Panormus",,
50716,"Aleria",,
50717,"Demetrias",,
50654,"Raphia",34.2519,31.2886
50715,"Agrigentum",,
50658,"Azotus Paralios",34.65,31.8
50652,"Phasis",42.15,41.6674
50720,"Forum Appii",,
50040,"Arelate",43.677,4.628
50094,"Caesarea Maritima",32.5,34.9
50101,"Camulodunum",51.892,0.898
50465,"Dessobriga",0,0
50264,"Narbo",43.214,3
50249,"Mamucio",53.481,-2.342
50374,"Tacape",33.883,10.099
50381,"Teanum",41.255,14.056
50593,"Astypaleia",36.55,26.35
50763,"x",,
50758,"Samonion Pr.",,
50538,"Euesperides",32.12,20.08
50764,"x",,
50766,"x",,
50767,"x",,
50768,"x",,
50325,"Castra Regina",49.017,12.083
50774,"x",,
50038,"x",34.535,36.039
50235,"Londinium",51.513,-0.089
50130,"Coptos",25.977,32.798
50775,"Nisyros",27.172056,36.587875
50776,"Amorgos",25.9,36.83
50777,"Anaphe",25.8540694,36.3498205
50779,"Ceos",24.333333,37.616667
50780,"Corseae",26.5,37.566
50783,"Icaros",26.059,37.6215
50784,"Imbros",25.844444,40.160833
50785,"Ios",25.333333,36.716667
50786,"Kerea",25.75,36.75
50787,"Kimolos",24.55,36.8
50789,"Lebinthos",26.459,37.005
50790,"Leros",23.625,37.875
50791,"Miletus",27.2756764,37.5312131
50792,"Mykonos",25.37,37.44
50795,"Patmos",26.5578532,37.3157746
50778,"Andros",24.86,37.85
50793,"Naxos",25.378,37.103
50782,"Donousa",25.8,37.1
50788,"Kinaros",26.289,36.98
50781,"Cythnos",24.416,37.383
50796,"Skyllaion Pr.",23.518,37.438
50797,"Siphnos",24.666667,36.983333
50798,"Syros",24.92,37.43
50801,"Thera",25.433333,36.416667
50800,"Tenos",25.116,37.553
50799,"Telos",27.336,36.433
50550,"Isthmia",22.987,37.941
